0.4218757152557373    0.7700204849243164
0.8470799999999999    0.843
alpha_a    alpha_n      E_a         E_n         v_a         v_n
0.3    0.3    1.7023286111857159    1.6209434179080198    0.41636141489194856    0.31147563178832316
0.49516941323060454    0.4460041486875941    1.4997746879131035    1.5182577436019467    0.00013932689579476687    0.019971623582228926
0.49734311179019874    0.4753306241949317    1.500095272326269    1.507301703767198    4.36092317466219e-05    0.004282269735269573
0.4985774149054755    0.4886697758937609    1.5000125826575035    1.5001370532021716    1.0607823253572235e-05    0.0006992567951367157
0.49913746586417185    0.49335177851122186    1.4997577114491516    1.5002023814204675    3.609056607345451e-06    0.000295763943518601
0.4994515553661698    0.49669385297886803    1.5000529912785725    1.4999891756506856    1.933585855429243e-06    6.921204849774654e-05
0.4997161190224991    0.49824005595134047    1.5000025499630536    1.5002860689799438    4.7150077575608407e-07    2.0510715945665225e-05
0.4998407226498105    0.49909242317879265    1.500026308146285    1.5000011002364255    1.5817725529387872e-07    4.9325696585000856e-06
0.4999152165068608    0.4994834756596209    1.4999830213599883    1.5000190568283354    3.8152575765337815e-08    1.8344717398477428e-06
0.49994896937425565    0.49971650714396837    1.5000070842406825    1.499970298302838    1.9074301249588643e-08    7.59037601216761e-07
0.49997700441891907    0.49985669549988454    1.499998226823707    1.4999771948321818    3.017966321294807e-09    3.8359224285855476e-07
0.49998684771559054    0.4999268597954262    1.4999993698444845    1.5000013042885136    9.392504551897218e-10    2.6823876231318877e-07
0.49999220379428266    0.49995158597958134    1.499998048425509    1.5000061407994223    3.41496164679711e-10    2.595349548606407e-07
0.4999954890936775    0.4999685125249556    1.5000001701877146    1.4999715784878236    1.2689271855492734e-10    2.408058161762483e-07
0.4999975987379416    0.4999731346789388    1.5000000341501505    1.4999997151966131    3.6062708375084185e-11    3.084829267585576e-07
0.4999987247557266    0.499993421602162    1.499999944535508    1.4999841064736237    9.545253476517246e-12    2.5909320555683735e-07
0.49999928623404377    0.4999900932971095    1.5000000566098137    1.499989730831245    3.0166980025114754e-12    2.4213215787938225e-07
0.49999960323962916    0.49998626590965906    1.4999999796286945    1.5000164058325938    9.299228054260311e-13    2.2988693704206753e-07
0.4999997766514645    0.49999361629872313    1.5000000187127318    1.4999788405218455    3.161915174132446e-13    2.850743321403115e-07
0.4999998805177604    0.4999908921552035    1.500000009256676    1.4999896065957692    9.725553695716371e-14    2.148427635795258e-07
0.49999993924794983    0.5000024327779327    1.5000000030380765    1.4999788680436192    1.6431300764452317e-14    2.5865154418269753e-07
0.499999965997861    0.49999914641284987    1.4999999930405945    1.4999948559144654    1.1102230246251565e-14    2.7940741720300366e-07
0.4999999808944529    0.5000035146235395    1.4999999998102092    1.49997728244652    2.220446049250313e-15    2.5335249054236897e-07
0.49999999056496197    0.5000079423379177    1.5000000002315628    1.499998179666509    4.440892098500626e-16    2.59079385944716e-07
0.49999999481687446    0.5000014405945294    1.5000000003502232    1.49998636284271    -8.881784197001252e-15    2.4347078353414986e-07
