112.30797839164734    111.7778868675232
0.7364640000000001    0.7324600000000001
alpha_a    alpha_n      E_a         E_n         v_a         v_n
0.3    0.3    2.8544621398591095    2.75401933418931    0.16940394162069872    0.14862000803980546
0.3299221201229261    0.33107032765803535    2.6715714915338733    2.701812540104907    0.1343011454613432    0.12647026723906674
0.3610214399696511    0.35922993339361053    2.5685471194711087    2.570777638645411    0.06909908729761494    0.05123841815418384
0.36713522417632033    0.3702066127863807    2.5756222315424337    2.585189323885416    0.059232215504496644    0.059970105705824395
0.37886144079680406    0.3840086357690648    2.603355766920062    2.5206983591222323    0.04635771716070636    0.03233351109444538
0.39024448559164143    0.3943513681117566    2.5620679702814417    2.5154147187055687    0.037416623845474284    0.0303700798386366
0.4006603551572441    0.40315703822690485    2.5332878961786656    2.512552910798049    0.03602797911706013    0.03384566917582443
0.41024049519644123    0.4149808797283281    2.524067428511755    2.463672411703434    0.03382261583296309    0.01391162760749598
0.4136724008636328    0.42036166230507066    2.5421262430870715    2.4983389864783097    0.03675823653573218    0.017737446473241825
0.4202717801301701    0.42619467386324406    2.474250520877172    2.4710118415269844    0.19950373069733818    0.013088890775697415
0.42770128937503343    0.430697316195497    2.485406824320376    2.4851050409648945    0.12746894337638004    0.013811295907763643
0.43229871034990236    0.4376475269481328    2.478948096745151    2.489347765470443    0.7693437876151767    0.01058901726014394
0.43646428879801985    0.4442869188800104    2.4702915289464644    2.4562127175592616    0.30502942053637483    0.0059683872780667
0.4375057164563845    0.4472874980149339    2.500615813988407    2.456857185120635    0.026223235084486873    0.00574045188311878
0.44124098823478664    0.45067667884362117    2.5051821873509867    2.4549568641586754    0.024062380174661335    0.005988201807491045
0.4445619684007792    0.4540366823990683    2.4964614608887277    2.4650908024824756    0.057537419956894986    0.004467815675324616
0.44769973116961453    0.45724171191688906    2.4912305645905333    2.453905680298902    0.009855278339694351    0.004546094671129097
0.45043078830213246    0.46028604025789754    2.4886878543899815    2.4583736650287284    0.022908117467457245    0.0038304266624420436
0.4519561930699045    0.46370653531382994    2.5149583264753073    2.437986556572298    0.022909891421322826    0.0018464136074047843
0.45423078980130893    0.46532152692197826    2.5057718277846472    2.444217927857504    0.028019841205548346    0.0023086310260751475
0.4564137762739176    0.4677285747716862    2.4763219511878374    2.445369914290696    0.02361508357290809    0.0022775097494545093
0.458420548962452    0.4699048515523689    2.467028498731095    2.4420566252637808    0.03426756130478559    0.001620236324151314
0.4604524099551475    0.47188488023852754    2.487172606448314    2.450080492023909    0.01663725849586495    0.0017277241198829785
0.4618228491349922    0.4734434513237515    2.4881766797689813    2.4507299260576425    0.05959920095767135    0.0013299438586864554
0.4622576029957583    0.4748866644434329    2.4756594470647393    2.454738133783725    0.009779691056208684    0.0014694060923439167
