0.7159509658813477    1681026073.2304108
0.9298068    0.9304858000000003
alpha      E_a         E_n         v_a         v_n         error_a         error_n
0.35    1.5926615177185044    1.5908115998263268    0.004049376662267938    0.003925651190670528     0.004049376662267938    0.003925651190670528
0.39999999999999997    1.5344927378107542    1.5343303133069828    0.0014727959293076391    0.001405831609101756     0.0014727959293076391    0.001405831609101756
0.44999999999999996    1.5070963862796745    1.5077596215898696    0.0003235263685696192    0.00036196882629072985     0.0003235263685696192    0.00036196882629072985
0.49999999999999994    1.5    1.5001163242142355    0.0    2.252441099614977e-05     0.0    2.252441099614977e-05
0.5499999999999999    1.5070224902783176    1.5079683856332142    0.0002385458970128873    0.00025364123386265963     0.0002385458970128873    0.00025364123386265963
0.6    1.5241519836427966    1.5258668939540012    0.0008739598007888224    0.0008352069489935646     0.0008739598007888224    0.0008352069489935646
0.65    1.5555334872809556    1.5547248659241888    0.0016583806322293764    0.0016957422054622768     0.0016583806322293764    0.0016957422054622768
0.7000000000000001    1.5818590852781078    1.5857561975288696    0.002889428600876783    0.002773149599920218     0.002889428600876783    0.002773149599920218
0.7500000000000001    1.6228924214763631    1.624541622307983    0.004173715622097562    0.0039846807684957115     0.004173715622097562    0.0039846807684957115
0.8000000000000002    1.6643086007448655    1.6683195608130967    0.005431293877185143    0.0054558696316552675     0.005431293877185143    0.0054558696316552675
