0.6501123905181885    1680850835.7180166
0.5538700000000001    0.5559100000000001
alpha      E_a         E_n         v_a         v_n        error_a         error_n
0.35    1.5976605040209346    1.59932023267854    0.02043400906201483    0.019416534885755194     0.02043400906201483    0.019416534885755194
0.39999999999999997    1.538458921327692    1.5298007874164126    0.008144610388797139    0.007613602263266832     0.008144610388797139    0.007613602263266832
0.44999999999999996    1.5080512320751762    1.5083791101052613    0.001592182904534593    0.001668348481078515     0.001592182904534593    0.001668348481078515
0.49999999999999994    1.5    1.4999644972094834    0.0    2.2163930337715243e-06     0.0    2.2163930337715243e-06
0.5499999999999999    1.5094508836146332    1.5052852236209213    0.0013858540623739775    0.0013958284964687244     0.0013858540623739775    0.0013958284964687244
0.6    1.5258920288378481    1.5265266544184184    0.0049125642893361006    0.004856268680099325     0.0049125642893361006    0.004856268680099325
0.65    1.5581706081837032    1.5576154828800897    0.010217646591074528    0.010795894908496603     0.010217646591074528    0.010795894908496603
0.7000000000000001    1.5932893670858512    1.596704909032707    0.01733123069301105    0.01568754713037886     0.01733123069301105    0.01568754713037886
0.7500000000000001    1.6252100247463226    1.638764037388398    0.02834040886107399    0.026254717762701496     0.02834040886107399    0.026254717762701496
0.8000000000000002    1.670612577256108    1.6729054111354849    0.03482530704823206    0.03479804380267937     0.03482530704823206    0.03479804380267937
