0.6324400901794434    1680850819.7092874
0.4795700000000001    0.4824400000000001
alpha      E_a         E_n         v_a         v_n        error_a         error_n
0.35    1.6015415585704227    1.6087500841005224    0.19942415034925295    0.20294332166564252     0.19942415034925295    0.20294332166564252
0.39999999999999997    1.5378815988185073    1.535419426171673    0.07742710289969527    0.07302038220763778     0.07742710289969527    0.07302038220763778
0.44999999999999996    1.5074318860022429    1.5091922353696505    0.01682741513221468    0.017164101337323528     0.01682741513221468    0.017164101337323528
0.49999999999999994    1.5    1.5000044890712598    0.0    2.3152457218067468e-07     0.0    2.3152457218067468e-07
0.5499999999999999    1.5057163413397017    1.5106982041303354    0.013881771010494667    0.012773795101211979     0.013881771010494667    0.012773795101211979
0.6    1.5259970117529018    1.5269595661331785    0.05136824611482541    0.05020332286762308     0.05136824611482541    0.05020332286762308
0.65    1.5460719587594385    1.5523486468383059    0.10906853968601611    0.10587749008854226     0.10906853968601611    0.10587749008854226
0.7000000000000001    1.5831397414631114    1.5919591270789404    0.176152503816373    0.16965634227063484     0.176152503816373    0.16965634227063484
0.7500000000000001    1.6287516262605923    1.6341345985125233    0.26269383407423313    0.2385595129564199     0.26269383407423313    0.2385595129564199
0.8000000000000002    1.6653641284117977    1.6810528748252318    0.3613641172018198    0.33322543405454014     0.3613641172018198    0.33322543405454014
