0.974393367767334    1681118910.6201591
26000    27000
alphaList_a     alphaList_n    E_a         E_n         v_a         v_n 
1.0    1.0   1.6610457664454878    1.897506270677525    0.9090241846308098    1.005252228345923
0.9393983876912797    0.9329762583354769   1.962199945010847    1.8462400948777815    0.6507385604740277    0.6934654155653899
0.8879541097802823    0.8771050737360122   1.7125984974450845    1.7920843176858745    0.624439910587884    0.4638172128854632
0.8299705074551036    0.8324509258239713   1.636256670940214    1.6100302413476373    0.5667810341913522    0.2846752533440151
0.7653949478301296    0.8003176437398181   1.8248334107694484    1.7369739323082187    0.12845943106710722    0.3273035983256358
0.7462692517089671    0.7583914364247785   1.3969511078909969    1.6563815194874514    0.4382450994291107    0.24117271406661533
0.6748747113671192    0.7212928377213728   1.6563207800421058    1.5391607681463766    0.05642146986111518    0.1869619456022873
0.6611439116090848    0.6866931485046759   1.2635888003613642    1.6316018478493535    0.3268254410437723    0.09884829519187166
0.5738093972853762    0.6643729237080913   1.4991481169584917    1.5654746032343934    0.03365592550879448    0.1457731309726018
0.5525773103948304    0.6262585220289635   1.4761449641002742    1.4326404295590796    0.017736344295701034    0.18507000448148503
0.5365529115822625    0.5611505222572788   1.499885512936225    1.4428008673616364    0.004770746387813052    0.03088663006882797
0.5302572281421006    0.5373623370664629   1.5132401125033534    1.5321820595549949    0.006187418615152929    0.004038333852888876
0.5203328182287948    0.5321602170688665   1.5158045429526221    1.5517568882606219    0.0017064506040864735    0.0009328891542859097
0.5162201441680533    0.5307556663183531   1.5141481909144041    1.4873549032365034    0.0008794686802904295    0.011026548118339363
0.5135523773112752    0.5133558703086726   1.5178701678973314    1.5085910931190567    0.00024775776023133744    0.000885252415137483
0.5126505246531575    0.5101065687701358   1.4896173785294526    1.4960632598063879    0.0008052851233930625    0.000565224840038514
0.5095074727625991    0.5073351346784778   1.488108738308893    1.4994486196129426    0.001352748295688766    0.0002595023941034391
0.5024603413237719    0.5055775304180811   1.5008220676326927    1.5038720455470032    1.60434601146342e-05    0.00010483868631760984
0.5021351001785058    0.5046432423591889   1.4973677493594986    1.5004215174753768    2.7360425331135474e-05    0.00010219522119880864
0.5014957359741239    0.5035479633148523   1.5014183404305117    1.503415628973508    5.156880363621497e-06    4.601930828274092e-05
0.5013236073820141    0.5029056017459345   1.5012432216080145    1.499011298278524    4.7332639363517615e-06    6.571664714360992e-05
0.5011450420725821    0.501798918213021   1.5013116126962096    1.50129991397258    3.251659666858586e-06    1.1894017769353837e-05
0.5010032158150178    0.5014648861134282   1.4998985433842944    1.4978336465437543    6.044969599106054e-06    2.1093050843301597e-05
0.5007022381403278    0.5007785389159506   1.5003494614161488    1.5000337343852015    2.2800818699764136e-06    2.439810228516137e-06
0.5005400081433593    0.5006195525208055   1.4993996640788676    1.5002536314413593    2.9504623380027795e-06    1.9570152938186425e-06
0.500266968748944    0.5004913657126862   1.5000056082769355    1.5001964809463049    3.153479428696926e-07    1.6105363833673891e-06
0.0    0.500362133304599   0.0    1.5002553094895352    0.0    4.4294926127008694e-07
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
