0.6228899955749512    1681025208.9243531
0.4626    0.46388000000000007
alpha      E_a         E_n         v_a         v_n         error_a         error_n
0.35    1.5937164230103    1.592362045842301    0.19740906367960362    0.19714368063459342     0.19740906367960362    0.19714368063459342
0.39999999999999997    1.5320926234940024    1.5326572505941833    0.0733155848152871    0.0736813415031022     0.0733155848152871    0.0736813415031022
0.44999999999999996    1.5102721620402797    1.50711880863988    0.017251685789663036    0.01678050766553585     0.017251685789663036    0.01678050766553585
0.49999999999999994    1.5    1.5000041098279864    0.0    2.295008649788599e-07     0.0    2.295008649788599e-07
0.5499999999999999    1.5072009080468913    1.5076741902275559    0.013301844120514309    0.013413075947244613     0.013301844120514309    0.013413075947244613
0.6    1.5247235663119179    1.5278011331629837    0.04929920853749614    0.050030546657155416     0.04929920853749614    0.050030546657155416
0.65    1.5505414857244257    1.5505325325073105    0.10692404330888665    0.10627619089242035     0.10692404330888665    0.10627619089242035
0.7000000000000001    1.585586727278626    1.5888482241838895    0.17529715983016328    0.17348250965347653     0.17529715983016328    0.17348250965347653
0.7500000000000001    1.6191093049442797    1.6216923166740458    0.2655046239709998    0.26339232639313565     0.2655046239709998    0.26339232639313565
0.8000000000000002    1.673568421851015    1.6737464214008002    0.35594132342366547    0.35286565824758115     0.35594132342366547    0.35286565824758115
