32.29685640335083    133.45185828208923
0.9166030000000001    0.9187239999999999
alpha      E_a         E_n         v_a         v_n
0.375    1.5678102083511034    1.563453173019423    0.013180734449591114    0.013087928665655113
0.4    1.5364238625067792    1.5404961835593585    0.007440664590428803    0.008006051700066408
0.42500000000000004    1.5221817368991597    1.5222392378164942    0.0042233144875556405    0.004055523603745836
0.45000000000000007    1.508249057506382    1.5097702952889644    0.0016278691131024203    0.0017322717472851856
0.4750000000000001    1.5018952214479837    1.5027930695629934    0.0004127319594178225    0.0003948976326348941
0.5000000000000001    1.5    1.500015063908606    0.0    2.3628571761413752e-06
0.5250000000000001    1.5009189047752103    1.5015127823020582    0.0003754649494269735    0.0003682329907244153
0.5500000000000002    1.5033841181014658    1.5038652275537001    0.0015452873816408363    0.0013994716793890305
0.5750000000000002    1.5088422463025717    1.5141112326914525    0.0032271949798823307    0.00302595664033678
0.6000000000000002    1.5205404476103503    1.5196253486530895    0.005393267620461106    0.005075004863067001
