0.6472010612487793    1681291189.3885531
9200.0    14400.0
alphaList_a     alphaList_n    E_a         E_n         v_a         v_n 
1.0    1.0   3.1156553245323675    3.083601033465722    0.5801239121341251    0.20892977282741398
0.8913046728987106    0.9490845486646031   2.9636831005071587    2.85104713845055    0.31951194366643776    0.14481704645704063
0.8499610660877357    0.9183139323991147   3.0163117217446533    2.891672868905762    0.4039857833727325    0.12888812511050496
0.7836529980563608    0.8896257590964799   2.860640383569118    2.848363640335173    0.2228918838949383    0.14254753862429048
0.755955214278021    0.8553737876909175   2.762143113253607    2.7644071908135    0.15060452039909755    0.11418506003126261
0.7229723689654917    0.8267201286066571   2.72161413586429    2.6813544388835067    0.14679885859365793    0.06994923838216405
0.6866313030273223    0.7985826712174633   2.6679969910200434    2.6181389134582695    0.07511530374640163    0.07688639013642895
0.6651742320317224    0.766658151595123   2.6558015905887746    2.5621672238302953    0.8580506222833684    0.09149025098498065
0.6507825454291727    0.7345022329649602   2.6430003259758443    2.654762192202428    0.08279918360873761    0.06733318490022189
0.6118528707700328    0.7078270595660693   2.509465936482655    2.5893216299047763    2.13272954881245    0.051493216017812315
0.5811073375621676    0.6859217829593293   2.6045415783920407    2.5284971152814126    0.053952035837280476    0.028205961969178794
0.5496359936871095    0.6687444388516646   2.5707439550471025    2.595258705793273    0.04626180910969069    0.026177361800275634
0.5328542145166201    0.6546088122810788   2.4949396271699307    2.5882147419662163    0.5151551056654489    0.028994697301580885
0.5509721460892278    0.6314115694566205   2.4969159389959237    2.5249488005945424    2.743253931960197    0.019153750738770015
0.524382265336907    0.6157923488994068   2.482359005749942    2.506009667652258    1.5773526796217299    0.015707070242430454
0.5150747289582681    0.5984617707083701   2.5466434384247494    2.53335584938297    0.026775255233644657    0.007204092168730192
0.5053144234916188    0.5903443302038126   2.5619285334416593    2.486467749084944    0.09483497666111518    0.009131740637983832
0.4784986963478498    0.5804568020333795   2.5496108225732663    2.500626539358397    0.0214456020303313    0.009320479418884808
0.4676545713717512    0.5663777968319672   2.539205081279735    2.4972042765682    0.025161908417537404    0.0052054331220210415
0.45977632636158877    0.5562435596850209   2.541922286148644    2.4765763811369017    0.012048955230629765    0.0038779086137168406
0.457932960917331    0.5473962217632364   2.5408758707879926    2.4693211336196974    0.03139184144370777    0.0025104509338405023
0.44725192850709095    0.5413210165496354   2.555829588934947    2.479024893139152    0.02009230756255409    0.0022999272721770936
0.44811224733847765    0.533329759721765   2.531266261775133    2.4754178971049416    0.018018921286461875    0.0016899254622675386
0.0    0.5278426835029357   0.0    2.4680536738935976    0.0    0.0014487121808324233
0.0    0.523153176748747   0.0    2.466006126252818    0.0    0.00138467820357846
0.0    0.5170505762884005   0.0    2.474013711743744    0.0    0.0005766187570754866
0.0    0.5134058912352409   0.0    2.473415527411024    0.0    0.0004893471683287132
0.0    0.5095486895660232   0.0    2.4747946253212922    0.0    0.0003084107063973107
0.0    0.5065313889780645   0.0    2.466446440162068    0.0    0.00030309724433319474
0.0    0.5021865564367257   0.0    2.46473959644282    0.0    0.00015349027814881566
0.0    0.49993610232445257   0.0    2.4692073277276143    0.0    0.00012421512809623891
0.0    0.49832438885105906   0.0    2.4711865898098604    0.0    0.00012161195436721783
0.0    0.4967874370204699   0.0    2.468093047636029    0.0    0.00010247400009077978
0.0    0.49548318912616385   0.0    2.4677287620912516    0.0    0.0001229107265752205
0.0    0.49421145136421946   0.0    2.468124334962645    0.0    9.300608483275852e-05
0.0    0.49320047787035226   0.0    2.469826769106555    0.0    8.51445263565509e-05
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
