3.442431688308716    11.262766361236572
0.99857    0.99849
alpha      E_a         E_n         v_a         v_n
0.375    1.58412331605088    1.607292700256484    0.01258824747494991    0.028235732770141464
0.4    1.5119231197230398    1.5423910575196382    0.01332953424571448    0.020846890087174774
0.42500000000000004    1.5186866496247928    1.501983441021075    0.0045465031449674065    0.0030230257662617888
0.45000000000000007    1.4816655710595759    1.5084010223836393    0.0010055034291349685    0.0037468987247133434
0.4750000000000001    1.490851180403171    1.5017753518230073    0.0002370910570408391    0.0005329236340512189
0.5000000000000001    1.5    1.5000896379986028    0.0    2.6310416312291807e-06
0.5250000000000001    1.5129715115730165    1.5036792364098615    0.0002590443525640751    0.0003677703439803892
0.5500000000000002    1.5172823539060276    1.491702001707135    0.0009712064098241768    0.0023820925397970427
0.5750000000000002    1.4995980782916452    1.5432155821790858    0.004190743909361139    0.0020601198514751395
0.6000000000000002    1.5109698308876083    1.5380085954896598    0.006500910336072252    0.004730573897166135
