3.2253143787384033    11.580127477645874
0.12779000000000001    0.10764
alpha      E_a         E_n         v_a         v_n
0.375    1.6707574570249064    1.6688152495578739    0.015090151136698982    0.019889591962604314
0.4    1.6357451379800378    1.623420919627799    0.009199942419094054    0.00811488529785187
0.42500000000000004    1.6430897670672044    1.7033947556873985    0.006758985951921925    0.0030923250450185513
0.45000000000000007    1.5952106937537813    1.5420459865734322    0.0033399665866391537    0.0017808761444668697
0.4750000000000001    1.5271887917991116    1.5466917854043958    0.0004183636775461075    0.0009213942296817379
0.5000000000000001    1.5    1.4998472415151862    0.0    5.838465734431253e-06
0.5250000000000001    1.4460443433037338    1.4134749290997908    0.0007652409597644905    0.0010592235707271858
0.5500000000000002    1.4400818385415661    1.4275047984695386    0.0027345678535040108    0.0016952663350844333
0.5750000000000002    1.4278707946554399    1.3849089977037912    0.009462560037617251    0.007129041081219034
0.6000000000000002    1.4222573569684065    1.2302705346363594    0.004732194465379536    0.008038807707655415
