3.2301909923553467    11.561268091201782
0.01658    0.017099999999999997
alpha      E_a         E_n         v_a         v_n
0.375    1.619167562301927    1.5363792881519152    -5.906386491005833e-14    0.012778238328366331
0.4    1.6457106404925963    1.663534274656849    0.01072770348550689    0.012046518979356158
0.42500000000000004    1.588965714537493    1.5796764222162951    0.004079470041231215    0.0055877769194880855
0.45000000000000007    1.5733709449953943    1.6010979570435042    0.0017133651093521607    0.0021523355938994904
0.4750000000000001    1.5268083374996615    1.5624755156422325    0.0001652555669298117    9.617177479182004e-05
0.5000000000000001    1.5    1.5013739236890564    0.0    4.07385325429388e-06
0.5250000000000001    1.457407070486587    1.4583640685510462    0.0001228153696821721    0.0010630146979964117
0.5500000000000002    1.4795830331549369    1.5109301404111872    0.0004273967326429151    0.0019482659809311187
0.5750000000000002    1.3722792115428046    1.4804361382709894    0.002440996305881793    0.0020181710832161137
0.6000000000000002    0.9822760034764739    1.2127809886667162    0.004516130438375732    0.011308728222963804
