303.3475248813629    303.3475248813629
0.0    0.0
alpha      E_a         E_n         v_a         v_n
0.25    0.8455000445864705    0.0    -3.111955138024314e-13    0.0
0.3    0.9792095404598755    0.0    8.79296635503124e-14    0.0
0.35    1.1152550071577043    0.0    -5.466738173254271e-13    0.0
0.39999999999999997    1.2449074729824818    0.0    -4.434230760352875e-13    0.0
0.44999999999999996    1.3739474210196674    0.0    -4.74953409934642e-13    0.0
0.49999999999999994    1.5    0.0    0.0    0.0
0.5499999999999999    1.6229800492328577    0.0    -5.275779813018744e-13    0.0
0.6    1.7437723067725077    0.0    -5.191402863147232e-13    0.0
0.65    1.8621893124096205    0.0    -2.8466118351389014e-13    0.0
0.7000000000000001    1.9744237978499346    0.0    1.382449710263245e-12    0.0
